Serialno	Installation.year	Truncation.indicator	Truncation.time	Failure.year	Censoring.indicator	Life.time	Censoring.time
1	1984	1	NA	NA	0	3.178	3.178
2	1990	1	NA	2001	1	2.398	NA
3	1983	1	NA	2002	1	2.944	NA
4	1981	1	NA	2000	1	2.944	NA
5	1985	1	NA	NA	0	3.135	3.135
6	1991	1	NA	NA	0	2.833	2.833
7	1982	1	NA	NA	0	3.258	3.258
8	1990	1	NA	NA	0	2.89	2.89
9	1983	1	NA	1999	1	2.773	NA
10	1992	1	NA	NA	0	2.773	2.773
11	1983	1	NA	NA	0	3.219	3.219
12	1989	1	NA	NA	0	2.944	2.944
13	1985	1	NA	NA	0	3.135	3.135
14	1982	1	NA	NA	0	3.258	3.258
15	1983	1	NA	NA	0	3.219	3.219
16	1981	1	NA	NA	0	3.296	3.296
17	1985	1	NA	NA	0	3.135	3.135
18	1981	1	NA	NA	0	3.296	3.296
19	1988	1	NA	2002	1	2.639	NA
20	1983	1	NA	NA	0	3.219	3.219
21	1984	1	NA	NA	0	3.178	3.178
22	1989	1	NA	NA	0	2.944	2.944
23	1988	1	NA	NA	0	2.996	2.996
24	1982	1	NA	NA	0	3.258	3.258
25	1981	1	NA	NA	0	3.296	3.296
26	1986	1	NA	NA	0	3.091	3.091
27	1987	1	NA	NA	0	3.045	3.045
28	1990	1	NA	1997	1	1.946	NA
29	1980	1	NA	1996	1	2.773	NA
30	1980	1	NA	NA	0	3.332	3.332
31	1981	1	NA	NA	0	3.296	3.296
32	1983	1	NA	1997	1	2.639	NA
33	1980	1	NA	NA	0	3.332	3.332
34	1984	1	NA	NA	0	3.178	3.178
35	1982	1	NA	NA	0	3.258	3.258
36	1980	1	NA	NA	0	3.332	3.332
37	1985	1	NA	2007	1	3.091	NA
38	1993	1	NA	NA	0	2.708	2.708
39	1983	1	NA	NA	0	3.219	3.219
40	1980	1	NA	NA	0	3.332	3.332
41	1981	1	NA	2001	1	2.996	NA
42	1989	1	NA	NA	0	2.944	2.944
43	1993	1	NA	NA	0	2.708	2.708
44	1983	1	NA	NA	0	3.219	3.219
45	1993	1	NA	NA	0	2.708	2.708
46	1987	1	NA	NA	0	3.045	3.044
47	1994	1	NA	NA	0	2.639	2.639
48	1985	1	NA	2007	1	3.091	NA
49	1981	1	NA	NA	0	3.296	3.296
50	1983	1	NA	2004	1	3.045	NA
51	1982	1	NA	NA	0	3.258	3.258
52	1981	1	NA	NA	0	3.296	3.296
53	1986	1	NA	NA	0	3.091	3.091
54	1980	1	NA	1990	1	2.303	NA
55	1980	1	NA	1994	1	2.639	NA
56	1982	1	NA	NA	0	3.258	3.258
57	1990	1	NA	2008	1	2.89	NA
58	1985	1	NA	NA	0	3.135	3.135
59	1983	1	NA	NA	0	3.219	3.219
60	1982	1	NA	NA	0	3.258	3.258
61	1963	0	2.833	1996	1	3.497	NA
62	1963	0	2.833	2001	1	3.638	NA
63	1961	0	2.944	1998	1	3.611	NA
64	1961	0	2.944	1992	1	3.434	NA
65	1960	0	2.996	1984	1	3.178	NA
66	1964	0	2.773	2004	1	3.689	NA
67	1961	0	2.944	1994	1	3.497	NA
68	1977	0	1.099	1998	1	3.045	NA
69	1963	0	2.833	1987	1	3.178	NA
70	1960	0	2.996	1991	1	3.434	NA
71	1961	0	2.944	1983	1	3.091	NA
72	1964	0	2.773	1995	1	3.434	NA
73	1963	0	2.833	1998	1	3.555	NA
74	1961	0	2.944	2001	1	3.689	NA
75	1960	0	2.996	1988	1	3.332	NA
76	1974	0	1.792	2006	1	3.466	NA
77	1978	0	0.693	1995	1	2.833	NA
78	1962	0	2.89	1993	1	3.434	NA
79	1963	0	2.833	NA	0	3.807	3.807
80	1960	0	2.996	1998	1	3.638	NA
81	1962	0	2.89	2007	1	3.807	NA
82	1960	0	2.996	1990	1	3.401	NA
83	1962	0	2.89	1980	1	2.89	NA
84	1961	0	2.944	1981	1	2.996	NA
85	1964	0	2.773	1989	1	3.219	NA
86	1964	0	2.773	1987	1	3.135	NA
87	1960	0	2.996	2006	1	3.829	NA
88	1961	0	2.944	1992	1	3.434	NA
89	1964	0	2.773	NA	0	3.784	3.784
90	1963	0	2.833	1991	1	3.332	NA
91	1973	0	1.946	NA	0	3.555	3.555
92	1964	0	2.773	NA	0	3.784	3.784
93	1972	0	2.079	1984	1	2.485	NA
94	1962	0	2.89	2007	1	3.807	NA
95	1963	0	2.833	1997	1	3.526	NA
96	1964	0	2.773	1987	1	3.135	NA
97	1964	0	2.773	2002	1	3.638	NA
98	1971	0	2.197	NA	0	3.611	3.611
99	1965	0	2.708	1990	1	3.219	NA
100	1962	0	2.89	1994	1	3.466	NA
