Serialno	Installation.year	Truncation.indicator	Truncation.time	Failure.year	Censoring.indicator	Life.time	Censoring.time
1	1992	1	NA	NA	0	2.773	2.773
2	1984	1	NA	NA	0	3.178	3.178
3	1985	1	NA	NA	0	3.135	3.135
4	1988	1	NA	NA	0	2.996	2.996
5	1981	1	NA	NA	0	3.296	3.296
6	1984	1	NA	NA	0	3.178	3.178
7	1993	1	NA	NA	0	2.708	2.708
8	1984	1	NA	NA	0	3.178	3.178
9	1983	1	NA	NA	0	3.219	3.219
10	1995	1	NA	NA	0	2.565	2.565
11	1994	1	NA	NA	0	2.639	2.639
12	1993	1	NA	NA	0	2.708	2.708
13	1985	1	NA	NA	0	3.135	3.135
14	1980	1	NA	NA	0	3.332	3.332
15	1994	1	NA	2008	1	2.639	NA
16	1993	1	NA	NA	0	2.708	2.708
17	1988	1	NA	NA	0	2.996	2.996
18	1984	1	NA	NA	0	3.178	3.178
19	1989	1	NA	2002	1	2.565	NA
20	1984	1	NA	NA	0	3.178	3.178
21	1995	1	NA	NA	0	2.565	2.565
22	1984	1	NA	2005	1	3.045	NA
23	1991	1	NA	NA	0	2.833	2.833
24	1986	1	NA	NA	0	3.091	3.091
25	1981	1	NA	2007	1	3.258	NA
26	1988	1	NA	NA	0	2.996	2.996
27	1982	1	NA	NA	0	3.258	3.258
28	1980	1	NA	NA	0	3.332	3.332
29	1982	1	NA	2003	1	3.045	NA
30	1985	1	NA	NA	0	3.135	3.135
31	1980	1	NA	1999	1	2.944	NA
32	1986	1	NA	NA	0	3.091	3.091
33	1983	1	NA	NA	0	3.219	3.219
34	1983	1	NA	NA	0	3.219	3.219
35	1985	1	NA	NA	0	3.135	3.135
36	1984	1	NA	NA	0	3.178	3.178
37	1981	1	NA	NA	0	3.296	3.296
38	1984	1	NA	1994	1	2.303	NA
39	1983	1	NA	NA	0	3.219	3.219
40	1993	1	NA	NA	0	2.708	2.708
41	1962	0	2.89	1995	1	3.497	NA
42	1960	0	2.996	NA	0	3.871	3.871
43	1974	0	1.792	1992	1	2.89	NA
44	1964	0	2.773	2007	1	3.761	NA
45	1962	0	2.89	NA	0	3.829	3.829
46	1963	0	2.833	1985	1	3.091	NA
47	1960	0	2.996	NA	0	3.871	3.871
48	1979	0	0	NA	0	3.367	3.367
49	1962	0	2.89	2003	1	3.714	NA
50	1962	0	2.89	1985	1	3.135	NA
51	1967	0	2.565	1995	1	3.332	NA
52	1963	0	2.833	1992	1	3.367	NA
53	1963	0	2.833	1996	1	3.497	NA
54	1967	0	2.565	NA	0	3.714	3.714
55	1964	0	2.773	2004	1	3.689	NA
56	1969	0	2.398	NA	0	3.664	3.664
57	1960	0	2.996	NA	0	3.871	3.871
58	1960	0	2.996	1982	1	3.091	NA
59	1969	0	2.398	1985	1	2.773	NA
60	1970	0	2.303	1984	1	2.639	NA
61	1963	0	2.833	1983	1	2.996	NA
62	1961	0	2.944	2006	1	3.807	NA
63	1965	0	2.708	1990	1	3.219	NA
64	1965	0	2.708	1987	1	3.091	NA
65	1960	0	2.996	2007	1	3.85	NA
66	1961	0	2.944	NA	0	3.85	3.85
67	1960	0	2.996	NA	0	3.871	3.871
68	1979	0	0	NA	0	3.367	3.367
69	1970	0	2.303	NA	0	3.638	3.638
70	1961	0	2.944	NA	0	3.85	3.85
71	1963	0	2.833	1991	1	3.332	NA
72	1963	0	2.833	NA	0	3.807	3.807
73	1967	0	2.565	2001	1	3.526	NA
74	1962	0	2.89	1990	1	3.332	NA
75	1964	0	2.773	1999	1	3.555	NA
76	1962	0	2.89	NA	0	3.829	3.829
77	1961	0	2.944	2004	1	3.761	NA
78	1962	0	2.89	NA	0	3.829	3.829
79	1963	0	2.833	1986	1	3.135	NA
80	1964	0	2.773	2005	1	3.714	NA
81	1961	0	2.944	1990	1	3.367	NA
82	1963	0	2.833	NA	0	3.807	3.807
83	1961	0	2.944	1988	1	3.296	NA
84	1960	0	2.996	1995	1	3.555	NA
85	1972	0	2.079	1999	1	3.296	NA
86	1960	0	2.996	1982	1	3.091	NA
87	1962	0	2.89	2007	1	3.807	NA
88	1977	0	1.099	2001	1	3.178	NA
89	1963	0	2.833	1984	1	3.045	NA
90	1960	0	2.996	2000	1	3.689	NA
91	1974	0	1.792	NA	0	3.526	3.526
92	1979	0	0	2003	1	3.178	NA
93	1964	0	2.773	1995	1	3.434	NA
94	1973	0	1.946	NA	0	3.555	3.555
95	1960	0	2.996	1992	1	3.466	NA
96	1964	0	2.773	2001	1	3.611	NA
97	1960	0	2.996	1982	1	3.091	NA
98	1961	0	2.944	1997	1	3.584	NA
99	1963	0	2.833	1982	1	2.944	NA
100	1961	0	2.944	NA	0	3.85	3.85
