Serial.No.	Truncation.indicator	Truncation.time	Censoring.indicator	Life.time
1	1	0	0	16
2	1	0	0	17
3	1	0	1	24
4	1	0	0	18
5	1	0	0	23
6	1	0	0	20
7	1	0	1	26
8	1	0	0	15
9	1	0	0	14
10	1	0	0	21
11	1	0	0	26
12	1	0	0	22
13	1	0	1	23
14	1	0	0	19
15	1	0	0	24
16	1	0	1	22
17	1	0	0	26
18	1	0	1	25
19	1	0	0	16
20	1	0	0	18
21	1	0	0	25
22	1	0	1	25
23	1	0	1	21
24	1	0	0	18
25	1	0	1	26
26	1	0	0	22
27	1	0	0	16
28	1	0	0	20
29	1	0	0	20
30	1	0	0	23
31	1	0	1	22
32	1	0	0	13
33	1	0	0	17
34	1	0	1	25
35	1	0	1	27
36	1	0	1	21
37	1	0	0	18
38	1	0	0	16
39	1	0	0	13
40	1	0	1	11
41	1	0	1	24
42	1	0	0	13
43	1	0	0	24
44	1	0	0	27
45	1	0	0	23
46	1	0	0	17
47	1	0	0	20
48	1	0	1	23
49	1	0	0	24
50	1	0	1	21
51	1	0	0	14
52	1	0	0	23
53	1	0	1	25
54	1	0	1	17
55	1	0	0	25
56	1	0	0	25
57	1	0	1	23
58	1	0	1	25
59	1	0	1	24
60	1	0	0	14
61	1	0	1	24
62	1	0	0	15
63	1	0	0	22
64	1	0	1	24
65	1	0	1	25
66	1	0	0	26
67	1	0	0	23
68	1	0	0	24
69	1	0	1	23
70	1	0	0	17
71	1	0	0	15
72	1	0	0	26
73	1	0	0	15
74	1	0	0	16
75	1	0	1	17
76	1	0	0	19
77	1	0	0	19
78	1	0	1	17
79	1	0	0	20
80	1	0	0	21
81	1	0	1	22
82	1	0	0	16
83	1	0	1	24
84	1	0	0	19
85	1	0	0	24
86	1	0	0	22
87	1	0	0	14
88	1	0	0	17
89	1	0	1	20
90	1	0	1	21
91	1	0	0	20
92	1	0	0	14
93	1	0	0	21
94	1	0	0	24
95	1	0	1	19
96	1	0	0	27
97	1	0	1	22
98	1	0	1	24
99	1	0	0	26
100	1	0	1	24
101	1	0	0	24
102	1	0	0	25
103	1	0	0	17
104	1	0	0	23
105	1	0	1	19
106	1	0	0	19
107	1	0	0	20
108	1	0	0	15
109	1	0	0	14
110	1	0	1	25
111	1	0	1	22
112	1	0	0	15
113	1	0	1	22
114	1	0	0	17
115	1	0	1	26
116	1	0	1	25
117	1	0	0	21
118	1	0	1	22
119	1	0	0	28
120	1	0	0	13
121	1	0	0	24
122	1	0	0	23
123	1	0	0	21
124	1	0	1	25
125	1	0	0	16
126	1	0	0	20
127	1	0	0	26
128	1	0	0	16
129	1	0	1	23
130	1	0	1	20
131	1	0	1	24
132	1	0	1	17
133	1	0	1	23
134	1	0	1	17
135	1	0	0	17
136	1	0	1	17
137	1	0	0	19
138	1	0	1	22
139	1	0	1	21
140	1	0	1	25
141	1	0	0	20
142	1	0	0	23
143	1	0	1	24
144	1	0	0	14
145	1	0	0	15
146	1	0	1	24
147	1	0	1	24
148	1	0	1	26
149	1	0	0	25
150	1	0	0	18
151	1	0	0	13
152	1	0	0	15
153	1	0	1	22
154	1	0	1	22
155	1	0	0	21
156	1	0	1	26
157	1	0	0	20
158	1	0	0	19
159	1	0	0	20
160	1	0	1	27
161	0	19	1	26
162	0	20	1	25
163	0	12	1	21
164	0	3	1	21
165	0	15	1	25
166	0	16	1	29
167	0	19	1	22
168	0	3	1	25
169	0	19	1	24
170	0	19	1	22
171	0	9	1	20
172	0	19	1	31
173	0	14	1	25
174	0	4	1	30
175	0	1	1	21
176	0	20	1	29
177	0	20	1	23
178	0	19	1	21
179	0	18	1	25
180	0	18	1	29
181	0	7	1	21
182	0	19	1	25
183	0	1	1	24
184	0	20	1	29
185	0	3	1	28
186	0	17	1	25
187	0	16	1	27
188	0	15	1	28
189	0	20	1	32
190	0	3	1	20
191	0	18	1	26
192	0	17	1	23
193	0	6	1	23
194	0	1	1	27
195	0	18	1	29
196	0	10	1	19
197	0	6	1	31
198	0	20	1	27
199	0	3	1	27
200	0	16	1	28
